high arousal,low arousal,medium arousal,medium dominance,low dominance,high dominance,high valence,low valence,medium valence,examples,hedges,self references
catastrophic,biscuit,botulism,hare,trapper,chef,audio,audit,affiliation,,no indication,
chaos,blackberry,bowel,headphones,uncalled,cleaner,aunt,auditor,affinity,,unequivocally,
chase,blanket,bowels,heater,unheard,cleanup,aura,autism,affirmation,,unequivocal,
cheater,blooming,brainless,herb,unmarked,clear,authentic,autistic,affirmative,,very unlikely,
chicken pox,blueberry,brat,historical,unrelated,clipboard,authenticity,autopsy,affront,,chances are,
chloroform,book,breach,huckleberry,valium,coat,autumn,avoidance,afire,,impossible,
choke,bookworm,breakdown,include,wall,comb,available,awful,afloat,,effectively excludes,
claustrophobia,breath,breech,keen,wallflower,conditioner,aviator,awkward,aforementioned,,quite likely,
claustrophobic,breathe,bribe,kidder,wanton,conscientious,awake,axe,afterlife,,quite unlikely,
cockroach,breeze,bribery,kindred,ward,consistency,awakening,backfire,aftermath,,reasonable hope,
cocksucker,broaden,brimstone,know,woozy,constant,award,backhand,aftershave,,real possibility,
cocky,buttercup,broken,lake,abduct,continue,aware,bacteria,age,,almost impossible,
coerce,butterfly,brooding,land,abduction,continuity,awareness,bacterial,agency,,as likely as not,
collapse,calligraphy,bruise,lapdog,abomination,copier,awe,bad,agenda,,barely possible,
collision,calm,bruising,librarian,abort,cotton,awesome,badness,agent,,can't rule out entirely,
columbine,camera,brunt,lily,abrupt,cushion,babe,bald,agile,,cannot be excluded,
combat,can,brutality,linguistics,abuse,decide,baby,balding,aglow,,chance association,
combative,candlelight,brute,mahogany,abusive,discuss,babysitter,ban,agricultural,,chances are not great,
complain,cappuccino,brutish,mango,accursed,downtime,bacon,bandage,agriculture,,characteristically,
conceited,care,bulge,merit,accusation,ease,bake,bankrupt,ahoy,,classic,
concubine,cereal,bulimic,minty,accuse,endorse,bakery,bankruptcy,aid,,close to certain,
condemn,chapel,bullheaded,mist,addict,entirety,balance,banshee,aide,,conceivable,
confiscate,charity,bum,moisturizer,adulterer,entrust,ballerina,barbarian,aim,,consistently,
conflict,citizen,bummer,narrator,adultery,exit,ballet,barbaric,airbag,,definite,
confrontation,civilized,bunion,noodle,afraid,factual,ballgame,barbed,airborne,,definitely,
conspiracy,clothes,burden,nourishment,agonizing,familiar,balloon,barf,aircraft,,definitely not,
contagion,clouds,burdened,oak,agony,flan,banana,bash,aircraft carrier,,equally likely,
contagious,coin,bureaucracy,oneness,alarming,fold,band,bastard,airfield,,even odds,
contaminate,color,bureaucratic,optics,alcoholic,footprint,banjo,battered,airhead,,exceptionally,
contamination,comfort,burial,painter,alienation,forehead,baptism,battering,airline,,extremely likely,
contraband,comfortable,busybody,pal,allegation,foundation,barbecue,battle,airliner,,extremely unlikely,
controlling,comforting,cadaver,park,allergic,fullness,barefoot,battlements,airlock,,faintly possible,
controversy,comfy,cage,patient,ambulance,furnishings,bargain,bawl,airplane,,fair chance,
corrupt,commend,cagey,patio,ambush,godson,basil,beater,airport,,fairly likely,
cowardly,complete,callous,picture,amputate,goggle,bask,bedpan,airship,,fairly unlikely,
crabby,consider,cancel,pine,aneurysm,guardianship,bath,bee,airspace,,feasible,
crack,consistent,cancellation,poet,angry,hairdryer,bathe,beg,airspeed,,few,
crappy,consoled,canker,potato,angst,hairspray,bathrobe,beggar,airstrip,,fighting chance,
crazed,content,captive,protein,annihilation,handwriting,bay,belittle,airtight,,good chance,
creeper,contribution,captivity,purity,annoyed,harp,bazaar,belligerent,airway,,good hope,
creepy,conversation,carcass,quiet,annoying,hat,beach,bereaved,aisle,,great chance,
crime,coral,cardiac,rain,appendectomy,hem,beautiful,bereavement,ajar,,great chances,
cringe,cordial,careless,reasonable,appendicitis,hill,beauty,berserk,aka,,half the time,
crisis,cornflakes,carelessness,reclining,argumentative,hilltop,bed,betray,alabaster,,high chance,
criticize,cottage,carsick,refresh,arrest,indoor,bedroom,betrayal,alarm,,highly improbable,
crocodile,countryside,cartel,residence,arson,input,bedtime,beware,albatross,,hopefully,
crucifixion,creamy,casket,rest,arsonist,intact,befriend,bicker,albino,,inconceivable,
crucify,cucumber,catheter,retire,asphyxia,interpretive,begin,bigamy,album,,indeed,
cruelty,curator,caution,robin,asphyxiation,involvement,beginning,bigmouth,alcohol,,indefinite,
cry,dainty,cavity,sailboat,assailant,journal,behold,bigot,alcove,,it may,
culprit,dawn,cellblock,satisfactory,assassin,journalistic,believable,bigotry,alderman,,he may,
cult,daydream,cellmate,saver,assassinate,lamppost,believe,bile,ale,,she may,
cunt,decorator,cellulite,sea,assassination,letterhead,belong,bill,alert,,it seems,
curse,delicate,cemetery,seashore,assault,lever,beloved,billing,alfalfa,,he seems,
cutthroat,dexterity,censorship,seasoning,asshole,library,beneficial,bimbo,algebra,,she seems,
cyanide,divine,cesspool,sender,asylum,lid,benefit,binge,algorithm,,may,
damnation,dolphin,chauvinist,serendipity,attack,lightbulb,bestow,biopsy,alias,,seems,
danger,donate,cheat,serenity,audit,limb,bestseller,bipolar,alibi,,seems to me,
dangerous,dove,chemo,service,bankrupt,loader,beverage,bitch,alien,,less than half the time,
deadline,dressmaker,chemotherapy,shelter,bankruptcy,maid,biblical,bitchy,alight,,low chance,
death,driver,chickenpox,sight,barbarian,manageable,bicycle,bite,align,,many,
deathly,dumpling,cholera,silken,betray,mandolin,billion,biter,alignment,,meaningful chance,
debt,earthy,cigarette,sky,betrayal,manual,biological,bitter,alimony,,meaningful shot,
deceit,easygoing,cirrhosis,sled,bigot,marinara,birch,bitterness,allegiance,,nearly certain,
deceitful,embroidery,citation,soap,bitch,measuring tape,bird,blab,allegro,,necessary,
deceive,enlighten,clench,soft,black snake,millstone,birdie,blabbermouth,alleviate,,non-negligible chance,
deception,evening,clingy,soothing,blackmail,noon,birth,black snake,alley,,negligible chance,
defamation,extra,clod,spectrum,blackmailer,normal,birthday,blackface,alliance,,not conceivable,
delinquency,eyes,clot,support,bleeder,normalcy,birthplace,blacklist,allied,,not definite,
delusional,fair,clueless,sympathy,blinding,oar,biscuit,blackmail,alligator,,not feasible,
demon,familiarity,clutter,syrup,blood,okra,blackberry,blackmailer,alloy,,not improbable,
demonic,farmland,cocaine,t-shirt,bloodshed,opt,blanket,blackout,ally,,not inevitable,
deployment,fellowship,coercion,tea,bloody,optional,bless,blame,almanac,,not much chance,
depression,fern,coffin,teacher,boa,order,blessed,blasphemous,almighty,,not much of a chance,
desperation,fixer,collide,teahouse,bogus,origami,blessing,blasphemy,almond,,little chance,
destroy,float,colonoscopy,teatime,bomb,paddle boat,bliss,blatant,alone,,not necessary,
destroyer,floral,communism,tender,bombardment,participant,blissful,bleed,aloof,,not possible,
destruct,florist,communist,tenderness,bomber,pathway,bloom,bleeder,alpha,,not probable,
destruction,fond,complaint,tot,bombing,pause,blooming,blemish,alphabet,,not quite even,
destructive,fresh,complicate,tranquil,brainwash,pen,blossom,blight,alphabetical,,not very likely,
deteriorating,freshwater,complication,tree,breaking and entering,penmanship,blue,blind,alpine,,not very probable,
detonate,gardener,con,truce,breakup,percentage,blueberry,blinding,altar,,on the contrary,
devastating,gardening,conceit,utmost,brokenhearted,philosophy,bluebird,blindness,altar boy,,one can expect,
devastation,gentle,concussion,ventilation,brutal,pillowcase,bluejay,blister,alter,,can expect,
deviant,giraffe,condemnation,villa,bubonic,planter,blush,bloat,alteration,,one must consider,
devil,goldfish,confine,vine,bug,plating,boardwalk,bloated,alternate,,must consider,
diabolical,gracious,conflicting,vineyard,bullet,pocketful,boat,blockade,alternating,,one should assume,
diarrhea,granddad,confused,walk,bullshit,portrait,boating,blockage,alternative,,should assume,
dick,grandma,confusing,walnut,bully,pose,bold,blood,altimeter,,periodically,
dickhead,grape juice,confusion,window,burglar,predictable,bonbon,bloodbath,altitude,,poor chance,
dictator,guardian,congestion,woodland,burglary,prep,bonding,bloodshed,aluminum,,possibly,
dictatorship,halo,congress,aardvark,burn,primary,bonfire,bloodshot,alumnus,,practically all,
die,hammock,congressman,abalone,cancer,print,bonsai,bloodthirsty,amaretto,,practically none,
disaster,hare,constipation,abbey,cannibal,progression,bonus,bloody,amateur,,positive,
discord,haven,contempt,abide,cannibalism,proper,booby,blues,ambassador,,predictable,
discrimination,headphones,contradict,abode,carjack,rearrange,book,boa,amber,,pretty good chance,
disease,heater,contradictory,abstain,castrate,recommendation,bookshop,bog,ambient,,quite possible,
diseased,helper,convict,accordion,castration,redecorate,bookstore,bogey,ambiguous,,quite probable,
disembodied,herb,copycat,acoustics,casualty,remain,bookworm,bogus,ambitious,,rather improbable,
disgusting,historical,coronary,acquaintance,catastrophe,remark,boost,bomb,ambrosia,,rather likely,
dishonesty,hobby,coroner,acre,catastrophic,resolve,born,bombardment,amend,,rather probably,
dishonorable,huckleberry,corpse,actual,chaos,responsible,bosom,bomber,amendment,,rather unlikely,
disloyal,humane,corruption,adder,cheater,rinse,bouncy,bombing,amino,,reasonably likely,
disloyalty,humanitarian,costly,address,chicken pox,routine,bouquet,bondsman,ammo,,remote possibility,
disobey,humble,cough,adhesive,chloroform,sanitary,bowling,booger,ammonium,,seldom,
displease,ice tea,counterfeit,adjacent,choke,scarf,boyfriend,boogeyman,ammunition,,several,
disrespect,imaginable,court,adjourn,claustrophobia,sentence,bracelet,bootleg,amnesty,,slight odds for,
disruption,include,courtroom,adjust,claustrophobic,sentimental,brainstorm,bored,amorous,,slight odds against,
disruptive,keen,coward,administration,cockroach,shade,brave,boredom,amount,,slight odds in favor,
distraught,kidder,cowardice,administrative,collapse,shampoo,bravery,boring,amp,,slightly less than half,
distressed,kind,crackpot,advertising,collision,share,bread,bossy,amphibian,,slightly more than half,
distressing,kindergarten,cramp,advice,columbine,shave,breakfast,bottom,amphibious,,small doubt,
disturbance,kindred,cranky,advisor,combat,signature,breakthrough,botulism,ample,,some chance,
disturbing,kitten,crap,aesthetic,condemn,silent,breast,bowel,amuck,,somewhat likely,
divorce,know,crash,agency,confiscate,sip,breath,bowels,amulet,,somewhat unlikely,
doom,lake,crass,agriculture,conflict,solid,breathe,brainless,anaconda,,supports,
doomsday,land,creep,airtight,confrontation,solitary,breathtaking,brainwash,anagram,,suppose,
drinker,lapdog,criminal,aisle,conspiracy,solitude,breeze,brat,anal,,sure,
drown,librarian,cripple,ajar,contagion,southwest,brewing,brawl,analogy,,think,
drunk driving,lily,crippling,albatross,contagious,spatula,bride,breach,analysis,,toss-up,
drunkenness,linguistics,croak,alderman,contamination,sprinkler,bright,breakdown,analyst,,toss up,
dumb,mahogany,crook,alimony,controversy,stability,brighten,breaking and entering,analytical,,tossup,
dungeon,mango,crooked,almanac,corrupt,stable,brightness,breakup,analyze,,typically associated,
earthquake,meadow,crowded,aloof,cowardly,stance,brilliance,breech,analyzer,,uncertain,
economy,meditate,crude,alphabet,crappy,stapler,brilliant,bribe,anaphylactic,,uncommon,
eerie,meditation,cruel,altar boy,crazed,stationery,broaden,bribery,anatomy,,uncommonly,
egomaniac,mellow,crushed,alumnus,creeper,steering,brook,brimstone,ancestry,,unfeasible,
egotistical,merit,crutch,ambient,crime,steps,brotherhood,broken,anchor,,unnecessary,
electrocute,milk,crybaby,amend,cringe,stir,brotherly,brokenhearted,anchorage,,unpredictable,
electrocution,minty,crypt,ample,crisis,stone,brunch,brooding,android,,usually not,
embarrass,mist,cuckold,analyst,crocodile,stroll,brunette,bruise,anecdote,,not usually,
embarrassed,modest,cutoff,anesthetic,crucifixion,sturdy,bubble,bruising,anesthesia,,very good chances,
embarrassing,moisturizer,cyclone,angle,crucify,suffice,bubbly,brunt,anesthesiologist,,very good chance,
embarrassment,narrator,cynic,angora,cruelty,suitable,buck,brutal,anesthetic,,very high chance,
embezzler,noodle,cynical,ankle,cry,summarize,buddy,brutality,angiogram,,very improbable,
emergency,nourishment,cynicism,annals,culprit,sweeper,bungalow,brute,angle,,very low chance,
enemy,oak,cyst,anonymity,cult,symmetry,bunny,brutish,angora,,very often,
enraged,oneness,cystic,ant,cunt,tablecloth,burger,bubonic,ankle,,very poor chance,
enslave,optics,damage,antenna,damnation,tale,burrito,bug,anklet,,very possible,
entrapment,option,dandruff,anthropologist,danger,tend,butter,bugger,annals,,very possibly,
epidemic,organizer,darkened,anthropology,dangerous,therapeutic,buttercup,bulge,annex,,very probable,
euthanasia,painter,dead,antiseptic,death,thorough,butterfly,bulimic,announce,,very probably,
evacuate,painting,deadbeat,apartments,deathly,tidy,butterscotch,bullet,announcement,,virtually always,
evil,pal,deadly,appear,debt,train set,buttocks,bullheaded,announcer,,nearly always,
excruciating,park,deaf,appendix,deceit,transcript,buy,bullshit,annual,,likely,
execution,patience,deafening,appliance,deceitful,unlock,caffeine,bully,annul,,according to chance,
executioner,patient,deathbed,apron,deception,untroubled,cake,bum,annulment,,best bet,
exile,patio,debilitating,arch,defamation,upstanding,cakewalk,bummer,anointed,,infrequently,
exorcism,peacetime,decay,architect,delinquency,usual,calligraphy,bunion,anomaly,,improbably,
exorcist,picture,decaying,area,delusional,utensil,calm,burden,anonymity,,may be associated,
expensive,pillow,deceased,aristocratic,demon,validity,camcorder,burdened,anonymous,,majority,
exploit,pine,deceptive,armada,demonic,veranda,camera,bureaucracy,answer,,not unusual,
exploitation,pleasant,decline,armchair,deployment,weave,camp,bureaucrat,ant,,reported to occur,
explosion,poet,decompose,arrangement,depression,wide,campfire,bureaucratic,antagonistic,,typical,
exterminate,polite,decomposition,artiste,desperation,will,campsite,burglar,antelope,,extremely common,
extermination,politeness,decrepit,ascendant,destroyer,wreath,campus,burglary,antenna,,very common,
exterminator,potato,defeat,asparagus,destruction,expensive,can,burial,anterior,,infrequent,
fag,pray,defeated,asphalt,deteriorating,speeding,canary,burn,anthem,,most,
faggot,produce,defeatist,assemblyman,detonate,warning,candlelight,bury,anthill,,usual,
fail,protein,defect,assessment,devastating,access,candy,busybody,anthropological,,characteristic,
fake,purity,defective,associate,devastation,accomplish,capability,cadaver,anthropologist,,atypical,
FALSE,quiet,defenseless,assurance,devil,achievement,capable,cage,anthropology,,unusual,
famine,rain,defibrillator,asterisk,diabolical,active,cappuccino,cagey,anti,,vast majority,
fatal,realize,deficiency,astute,diarrhea,admired,car,callous,antiaircraft,,very unusual,
fatality,reasonable,deficient,atlas,dick,admirer,caramel,cancel,antibiotic,,highly unusual,
fatso,reclining,deficit,attendant,dickhead,adore,care,cancellation,antibiotics,,certainly not,
fear,refresh,deformed,avenue,dictator,advancement,carefree,cancer,anticipate,,certainly,
fearful,relax,deformity,average,dictatorship,advantageous,caress,canker,anticipation,,very low probability,
fearsome,relaxation,degenerate,await,die,adventure,carnival,cannibal,antics,,very high probability,
ferocious,relaxed,degeneration,awning,disaster,affection,carousel,cannibalism,antigravity,,moderate chance,
feverish,remember,degradation,axle,discord,alive,cartoon,capitalism,antiquated,,not very often,
fib,residence,degrade,back,disease,amazement,cash,captive,antiseptic,,not often,
fiend,rest,dehydration,backdrop,diseased,amazing,cashmere,captivity,antsy,,less often than not,
fight,retire,delayed,backgammon,disembodied,amuse,castle,carcass,anvil,,as often as not,
fireball,robin,delinquent,backtrack,dishonorable,amusing,cat,cardiac,anxious,,in keeping with,
flood,rose,delirium,backwoods,disloyal,animated,celebrate,careless,anytime,,probably those of,
forceful,safe,delude,baldy,disloyalty,applause,celebration,carelessness,aorta,,possibility of,
foreboding,safekeeping,delusion,bale,disrespect,arcade,celestial,carjack,aortic,,extremely rare,
foreclose,sailboat,demeaning,ballpoint,disruption,awake,cereal,carnage,apache,,very low percent,
foreclosure,sanctuary,demented,bamboo,distraught,award,ceremony,carsick,apartment,,very small percent,
fracture,satisfaction,dementia,bandanna,distressed,awesome,certainty,cartel,apartments,,modest chance,
fraud,satisfactory,demise,banister,disturbance,beautiful,cha cha,casket,ape,,not always,
freak,saver,demolish,barber,divorce,bestseller,champ,castrate,apex,,reasonably large,
freakish,savings,denial,barbershop,doom,billion,champagne,castration,apologize,,quite high,
freezing,sea,dent,bard,doomsday,bonus,champion,casualty,apology,,large chance,
fret,seashore,dependence,barge,drinker,bravery,championship,catastrophe,apostle,,no chance,
frightened,season,dependency,barium,drown,breakthrough,chandelier,catastrophic,apothecary,,very doubtful,
frightful,seasoning,deport,barnyard,drunk driving,brighten,chapel,catatonic,apparatus,,small possibility,
frostbite,sender,deportation,barrister,drunkenness,brilliance,charisma,catheter,apparel,,small probability,
